store_id,book_id,Transaction_date,sales
1,2767052,2013-07-19,3
6,2767052,2013-07-26,34
5,2767052,2013-07-29,1
3,2767052,2013-08-09,6
10,2767052,2013-08-11,4
9,2767052,2013-08-18,3
8,2767052,2013-08-26,4
8,2767052,2013-09-02,31
3,2767052,2013-09-07,27
2,2767052,2013-09-19,21
2,2767052,2013-09-24,38
8,2767052,2013-10-01,26
1,2767052,2013-10-09,7
9,2767052,2013-10-15,30
6,2767052,2013-10-23,13
10,2767052,2013-10-30,28
4,2767052,2013-11-03,34
5,2767052,2013-11-14,13
10,2767052,2013-11-20,24
7,2767052,2013-11-27,9
2,2767052,2013-12-01,1
4,2767052,2013-12-09,2
2,2767052,2013-12-19,12
2,2767052,2013-12-25,16
6,2767052,2013-12-28,38
6,2767052,2014-01-07,22
3,2767052,2014-01-11,8
7,2767052,2014-01-23,4
2,2767052,2014-01-29,19
4,2767052,2014-02-07,24
9,2767052,2014-02-08,7
2,2767052,2014-02-15,1
2,2767052,2014-02-25,30
8,2767052,2014-03-02,18
5,2767052,2014-03-13,4
10,2767052,2014-03-19,2
1,2767052,2014-03-28,24
1,2767052,2014-04-02,22
9,2767052,2014-04-07,25
6,2767052,2014-04-17,11
6,2767052,2014-04-19,5
8,2767052,2014-04-27,16
10,2767052,2014-05-04,3
5,2767052,2014-05-15,20
8,2767052,2014-05-23,20
6,2767052,2014-05-24,12
10,2767052,2014-06-04,27
4,2767052,2014-06-13,25
10,2767052,2014-06-20,14
6,2767052,2014-06-23,2
5,2767052,2014-06-28,24
7,2767052,2014-07-10,29
8,2767052,2014-07-13,27
4,2767052,2014-07-23,36
5,2767052,2014-07-27,11
2,2767052,2014-08-02,20
9,2767052,2014-08-09,13
9,2767052,2014-08-20,20
6,2767052,2014-08-26,20
1,2767052,2014-09-03,34
7,2767052,2014-09-07,36
8,2767052,2014-09-18,24
9,2767052,2014-09-21,20
4,2767052,2014-10-03,24
3,2767052,2014-10-09,10
8,2767052,2014-10-15,37
6,2767052,2014-10-19,13
7,2767052,2014-10-28,8
7,2767052,2014-11-06,23
6,2767052,2014-11-14,31
7,2767052,2014-11-16,27
2,2767052,2014-11-22,11
8,2767052,2014-11-29,14
6,2767052,2014-12-07,11
7,2767052,2014-12-14,29
5,2767052,2014-12-23,33
3,2767052,2014-12-28,37
8,2767052,2015-01-07,12
1,2767052,2015-01-14,6
6,2767052,2015-01-21,18
9,2767052,2015-01-28,20
9,2767052,2015-02-03,13
9,2767052,2015-02-08,27
7,2767052,2015-02-20,17
1,2767052,2015-02-22,16
1,2767052,2015-03-02,32
2,2767052,2015-03-08,17
4,2767052,2015-03-17,10
7,2767052,2015-03-27,28
2,2767052,2015-03-31,34
4,2767052,2015-04-04,24
7,2767052,2015-04-14,1
9,2767052,2015-04-19,33
2,2767052,2015-04-27,5
5,2767052,2015-05-08,31
10,2767052,2015-05-10,3
1,2767052,2015-05-19,1
10,2767052,2015-05-28,11
7,2767052,2015-06-03,19
3,2767052,2015-06-09,5
4,2767052,2015-06-16,15
4,2767052,2015-06-26,5
7,2767052,2015-06-29,21
6,2767052,2015-07-04,4
8,2767052,2015-07-13,39
1,2767052,2015-07-23,27
7,2767052,2015-07-31,18
8,2767052,2015-08-07,24
6,2767052,2015-08-11,18
6,2767052,2015-08-20,5
4,2767052,2015-08-26,9
7,2767052,2015-09-02,38
10,2767052,2015-09-07,1
6,2767052,2015-09-14,8
7,2767052,2015-09-24,24
10,2767052,2015-09-26,38
5,2767052,2015-10-09,14
7,2767052,2015-10-13,39
9,2767052,2015-10-22,16
4,2767052,2015-10-27,14
4,2767052,2015-11-01,35
5,2767052,2015-11-13,36
2,2767052,2015-11-14,23
2,2767052,2015-11-24,14
3,2767052,2015-11-28,28
9,2767052,2015-12-11,27
2,2767052,2015-12-13,7
7,2767052,2015-12-23,30
2,2767052,2015-12-27,24
7,2767052,2016-01-08,33
3,2767052,2016-01-12,36
10,2767052,2016-01-19,29
1,2767052,2016-01-26,23
3,2767052,2016-02-02,8
6,2767052,2016-02-12,10
6,2767052,2016-02-17,3
3,2767052,2016-02-25,5
7,2767052,2016-03-04,29
1,2767052,2016-03-07,32
4,2767052,2016-03-15,6
5,2767052,2016-03-23,4
5,2767052,2016-03-27,9
8,2767052,2016-04-02,27
3,2767052,2016-04-11,22
1,2767052,2016-04-20,23
1,2767052,2016-04-23,18
6,2767052,2016-05-01,20
1,2767052,2016-05-08,29
9,2767052,2016-05-19,2
10,2767052,2016-05-27,10
6,2767052,2016-05-29,3
7,2767052,2016-06-04,5
5,2767052,2016-06-17,14
9,2767052,2016-06-18,29
10,3,2011-06-22,22
8,3,2011-06-29,8
1,3,2011-07-02,33
10,3,2011-07-11,29
9,3,2011-07-16,16
2,3,2011-07-29,13
8,3,2011-08-02,29
9,3,2011-08-08,4
4,3,2011-08-19,25
3,3,2011-08-24,31
1,3,2011-09-02,33
6,3,2011-09-03,29
3,3,2011-09-13,39
3,3,2011-09-19,13
2,3,2011-09-27,17
5,3,2011-10-02,1
7,3,2011-10-08,31
3,3,2011-10-15,15
8,3,2011-10-25,31
4,3,2011-11-03,26
9,3,2011-11-07,4
10,3,2011-11-17,34
10,3,2011-11-24,35
3,3,2011-11-27,9
4,3,2011-12-09,29
7,3,2011-12-14,27
9,3,2011-12-22,11
5,3,2011-12-27,29
3,3,2012-01-03,23
10,3,2012-01-08,1
4,3,2012-01-18,25
2,3,2012-01-23,39
2,3,2012-02-01,23
2,3,2012-02-09,13
5,3,2012-02-17,32
10,3,2012-02-22,8
8,3,2012-02-26,27
8,3,2012-03-03,4
1,3,2012-03-10,10
1,3,2012-03-21,14
9,3,2012-03-24,7
5,3,2012-04-02,11
5,3,2012-04-08,10
2,3,2012-04-16,12
1,3,2012-04-24,17
9,3,2012-05-04,37
8,3,2012-05-07,5
2,3,2012-05-17,21
2,3,2012-05-24,9
7,3,2012-05-29,33
6,3,2012-06-06,20
4,3,2012-06-13,12
6,3,2012-06-17,34
7,3,2012-06-28,27
1,3,2012-06-30,24
3,3,2012-07-09,24
2,3,2012-07-19,14
3,3,2012-07-26,4
6,3,2012-07-30,30
4,3,2012-08-05,18
8,3,2012-08-13,10
9,3,2012-08-23,34
4,3,2012-08-31,32
2,3,2012-09-07,23
5,3,2012-09-10,15
3,3,2012-09-19,33
4,3,2012-09-24,34
